raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,87,82,77,72,67,62,58,55,51
1,88,83,79,74,68,64,60,56,52
2,90,85,80,75,70,65,61,57,53
3,92,86,82,77,71,66,62,58,54
4,93,88,83,78,72,68,63,60,55
5,95,90,85,80,74,69,65,61,56
6,97,92,87,81,75,70,66,62,57
7,99,93,88,83,77,72,67,63,59
8,101,95,90,85,79,73,69,65,60
9,103,97,92,86,80,75,70,66,61
10,105,99,94,88,82,77,72,68,63
11,107,101,96,90,84,78,73,69,64
12,109,103,98,92,86,80,75,71,66
13,111,105,100,94,88,82,77,72,67
14,113,107,102,96,90,84,79,74,69
15,115,110,104,98,92,86,81,76,71
16,118,112,107,101,94,88,83,78,73
17,120,115,109,103,97,91,86,81,75
18,123,117,112,106,100,94,88,84,78
19,126,120,115,109,103,97,92,87,81
20,128,123,118,113,106,101,96,91,86
21,130,126,122,116,111,106,101,97,93
22,130,130,125,121,116,112,109,108,106
23,130,130,130,126,122,120,119,117,112
24,130,130,130,130,130,129,126,122,116
25,130,130,130,130,130,130,130,126,119
