raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
1,66,61,56,66,50,47
2,66,61,57,66,50,47
3,67,62,58,67,51,48
4,68,63,59,68,52,49
5,69,64,59,69,52,49
6,70,65,60,70,53,50
7,71,65,61,71,53,50
8,71,66,62,71,54,51
9,72,67,62,72,55,52
10,73,68,63,73,55,52
11,74,68,64,74,56,53
12,75,69,64,75,57,53
13,76,70,65,76,57,54
14,76,71,66,76,58,55
15,77,72,67,77,59,55
16,78,72,67,78,59,56
17,79,73,68,79,60,57
18,80,74,69,80,61,57
19,81,75,70,81,61,58
20,81,75,70,81,62,58
21,82,76,71,82,63,59
22,83,77,72,83,63,60
23,84,78,72,84,64,60
24,85,79,73,85,65,61
25,86,79,74,86,65,62
26,86,80,75,86,66,62
27,87,81,75,87,67,63
28,88,82,76,88,67,63
29,89,82,77,89,68,64
30,90,83,78,90,69,65
31,91,84,78,91,69,65
32,91,85,79,91,70,66
33,92,86,80,92,71,67
34,93,86,81,93,71,67
35,94,87,81,94,72,68
36,95,88,82,95,73,69
37,96,89,83,96,73,69
38,97,89,84,97,74,70
39,97,90,84,97,75,70
40,98,91,85,98,75,71
41,99,92,86,99,76,72
42,100,93,87,100,77,72
43,101,93,87,101,77,73
44,102,94,88,102,78,74
45,102,95,89,102,79,74
46,103,96,90,103,79,75
47,104,97,90,104,80,76
48,105,97,91,105,81,76
49,106,98,92,106,81,77
50,107,99,93,107,82,78
51,107,100,93,107,83,78
52,108,100,94,108,83,79
53,109,101,95,109,84,80
54,110,102,96,110,85,80
55,111,103,96,111,86,81
56,112,104,97,112,86,82
57,112,104,98,112,87,82
58,113,105,99,113,88,83
59,114,106,99,114,88,84
60,115,107,100,115,89,85
61,116,108,101,116,90,85
62,117,108,102,117,91,86
63,117,109,102,117,91,87
64,118,110,103,118,92,87
65,119,111,104,119,93,88
66,120,112,105,120,93,89
67,121,112,105,121,94,89
68,122,113,106,122,95,90
69,122,114,107,122,96,91
70,123,115,108,123,96,92
71,124,116,108,124,97,92
72,125,116,109,125,98,93
73,126,117,110,126,99,94
74,127,118,111,127,99,95
75,128,119,112,128,100,95
76,128,120,112,128,101,96
77,129,120,113,129,102,97
78,130,121,114,130,102,98
79,130,122,115,130,103,98
80,130,123,115,130,104,99
81,130,124,116,130,105,100
82,130,124,117,130,106,101
83,130,125,118,130,106,101
84,130,126,119,130,107,102
85,130,127,119,130,108,103
86,130,128,120,130,109,104
87,130,128,121,130,110,105
88,130,129,122,130,110,105
89,130,130,123,130,111,106
90,130,130,123,130,112,107
91,130,130,124,130,113,108
92,130,130,125,130,114,109
93,130,130,126,130,114,110
94,130,130,127,130,115,111
95,130,130,127,130,116,111
96,130,130,128,130,117,112
97,130,130,129,130,118,113
98,130,130,130,130,119,114
99,130,130,130,130,120,115
100,130,130,130,130,121,116
101,130,130,130,130,121,117
102,130,130,130,130,122,118
103,130,130,130,130,123,119
104,130,130,130,130,124,120
105,130,130,130,130,125,121
106,130,130,130,130,126,122
107,130,130,130,130,127,123
108,130,130,130,130,128,124
109,130,130,130,130,129,125
110,130,130,130,130,130,126
111,130,130,130,130,130,128
112,130,130,130,130,130,129
113,130,130,130,130,130,130
114,130,130,130,130,130,130
115,130,130,130,130,130,130
116,130,130,130,130,130,130
117,130,130,130,130,130,130
118,130,130,130,130,130,130
119,130,130,130,130,130,130
120,130,130,130,130,130,130
