ID,group,raw
201016,6,17
201017,8,28
201020,10,16
201021,8,17
201022,12,39
201023,14,34
201024,14,27
201027,20,36
201028,24,36
201032,26,43
202001,26,43
202002,26,41
202003,26,38
202004,26,43
203006,10,22
203007,10,22
203008,12,12
203009,12,35
203010,13,26
203011,12,17
203012,12,29
203013,12,30
203015,15,27
203016,16,43
203017,20,35
203018,24,36
203028,13,16
204004,8,31
204005,14,25
204007,14,36
204010,20,33
204011,14,33
204012,12,30
204013,12,36
204014,14,38
204017,18,38
205010,16,36
205012,10,27
205016,16,39
205017,8,33
205019,10,20
205021,14,36
205030,23,43
205031,18,42
205032,23,38
205035,20,41
205037,22,36
205039,16,36
205040,14,17
206004,14,35
206007,17,30
206008,14,35
206009,13,28
206010,7,20
207009,8,25
207010,8,14
207011,10,13
207012,12,30
207013,12,25
207014,16,30
207015,15,34
207016,15,27
207017,15,13
207018,15,32
207019,15,34
207020,15,34
207021,17,31
208013,6,16
208015,20,30
208017,18,39
208019,8,5
208023,10,21
208024,12,11
208026,24,18
209007,24,40
209015,20,23
210007,12,29
210008,6,29
210009,6,25
210010,18,39
210011,20,38
210012,24,42
210019,11,30
210025,9,18
210030,25,38
210031,21,32
210032,17,35
210034,23,34
210035,15,30
210036,13,28
210037,5,5
210040,17,30
210041,21,41
210042,23,36
210043,5,8
210046,9,27
210047,21,33
210048,23,36
211002,10,30
211006,20,40
211007,8,18
211009,22,39
211010,12,22
211014,12,26
211016,8,21
211017,20,34
211018,22,36
211020,20,38
211021,26,36
211024,16,32
211027,17,35
211028,9,32
211029,19,32
211030,23,39
211032,23,41
211033,11,37
211034,9,13
211036,17,30
211038,23,26
211039,17,33
211041,19,38
211042,19,42
211049,23,35
211050,23,28
211051,9,21
211052,17,30
211062,15,19
211063,17,33
211064,21,39
211065,25,33
211066,21,30
211067,15,16
211068,21,36
211069,21,41
211071,21,39
211075,13,30
212003,10,29
212004,8,25
212006,14,32
212007,16,28
212008,18,35
212009,18,31
212010,18,31
212011,20,42
212012,20,39
212013,20,37
212014,20,37
212015,22,42
212016,22,31
212017,23,43
212018,23,32
212019,23,33
212020,24,38
212021,24,39
212022,24,8
212023,24,34
212024,24,44
212025,26,41
212026,26,42
212027,26,43
212028,26,38
212029,26,32
213002,24,36
213005,7,19
213008,7,16
213017,15,35
213018,19,37
214012,14,27
214013,16,31
214015,10,35
214017,20,36
214018,24,29
214021,8,22
214024,14,33
214028,18,33
214029,14,34
214031,8,12
214032,8,31
214034,20,39
214035,20,31
214040,10,16
214041,8,15
214051,17,36
214052,11,34
214053,13,37
214056,7,24
214058,9,19
214060,15,41
214067,9,30
214068,17,39
214069,9,29
214072,11,36
214074,11,26
214075,7,11
216004,8,33
216005,24,37
217015,8,27
217016,8,26
217017,8,23
217019,12,23
217020,12,28
217021,16,38
217022,18,31
218003,8,15
218004,10,24
218005,10,28
218006,12,33
218007,16,34
218009,22,38
218010,22,36
218011,24,40
218012,24,42
218013,24,28
218014,26,36
219006,7,15
219007,14,25
219008,13,36
220016,8,28
220017,8,17
220018,8,9
220019,8,11
220020,8,9
220021,8,14
221001,24,38
221002,20,28
221003,22,37
221004,22,36
221005,22,29
221006,26,30
221007,22,35
221008,22,27
221009,22,22
221010,26,25
221011,24,35
221012,20,32
221013,20,26
221014,20,32
221015,26,25
221016,20,25
221017,22,33
221018,22,29
221019,26,30
222023,6,21
222026,22,34
222028,10,23
223002,9,9
223005,10,26
223006,8,11
223007,10,31
223008,10,7
223009,12,10
223010,13,19
223011,14,31
223012,10,14
223013,12,28
223014,14,35
223015,14,31
223016,12,17
223017,18,24
223018,18,17
223019,20,32
223020,18,23
223021,18,29
223023,18,37
223024,20,34
223027,24,38
223028,15,29
223029,7,15
223030,24,38
223031,24,31
223032,26,38
223033,9,19
223034,19,31
223036,13,27
223037,7,21
223042,21,38
223047,19,33
223048,13,18
223049,11,13
223051,7,16
223052,25,38
223053,21,34
223054,17,28
223055,15,34
223056,11,18
223058,13,18
223061,25,32
223062,19,29
223063,15,29
223064,23,37
223065,21,36
223066,13,29
223067,9,17
223068,19,27
223069,13,14
223070,13,16
223071,7,14
223072,7,6
223073,11,18
223074,7,13
223075,17,21
225005,8,18
225006,10,29
225009,10,15
225010,16,39
226013,8,22
226014,8,22
226015,8,17
226019,8,24
226020,18,29
226022,18,23
226023,14,26
226024,14,16
226025,18,34
226026,10,21
226027,10,18
226028,10,23
226029,10,32
226030,10,17
226032,8,21
226034,12,24
226036,12,25
226037,10,25
226038,12,33
226040,10,31
226041,8,33
226043,8,32
226044,10,34
226045,6,11
226046,10,16
226048,14,24
226049,14,26
226050,20,42
227005,11,16
227006,8,29
227007,14,33
227008,11,32
227011,12,32
227012,8,8
227016,21,27
227017,26,39
227021,15,37
227026,18,34
228004,26,42
228006,26,43
228007,14,26
228009,25,33
228010,25,35
231043,20,27
232001,14,26
232002,12,25
232008,12,28
232009,12,14
232010,26,42
232011,26,40
232012,20,40
232013,24,39
232014,16,29
232017,13,35
232018,26,44
232022,14,25
232023,8,10
232024,14,33
232027,8,19
232028,9,30
232029,10,27
232032,26,39
232050,26,39
232051,15,40
232052,11,34
232053,13,26
232058,25,35
232059,21,24
232060,25,42
232063,19,37
232064,17,28
232066,21,33
232069,15,25
232071,25,38
232072,21,42
232075,9,15
234017,8,32
234018,8,10
234019,8,11
234020,8,15
234021,8,16
234037,10,28
234038,10,13
234040,10,25
234041,12,17
234042,12,27
234043,14,31
234047,16,15
234048,8,30
234049,8,17
234050,12,25
234051,14,36
235001,6,16
235026,12,35
236001,4,10
236003,4,12
236004,4,21
