raw,agestrat
13,70.0-89.11
14,70.0-89.11
15,70.0-89.11
16,60.0-69.11
16,70.0-89.11
17,60.0-69.11
17,70.0-89.11
18,60.0-69.11
18,70.0-89.11
19,60.0-69.11
19,70.0-89.11
20,60.0-69.11
20,70.0-89.11
21,60.0-69.11
21,70.0-89.11
22,60.0-69.11
22,70.0-89.11
23,60.0-69.11
23,70.0-89.11
24,60.0-69.11
24,70.0-89.11
25,60.0-69.11
25,70.0-89.11
26,60.0-69.11
26,70.0-89.11
27,60.0-69.11
27,70.0-89.11
28,60.0-69.11
28,70.0-89.11
29,60.0-69.11
29,70.0-89.11
30,60.0-69.11
30,70.0-89.11
31,60.0-69.11
31,70.0-89.11
32,60.0-69.11
32,70.0-89.11
33,60.0-69.11
33,70.0-89.11
34,60.0-69.11
34,70.0-89.11
35,60.0-69.11
35,70.0-89.11
36,60.0-69.11
36,70.0-89.11
37,60.0-69.11
37,70.0-89.11
38,60.0-69.11
38,70.0-89.11
39,60.0-69.11
39,70.0-89.11
40,60.0-69.11
40,70.0-89.11
41,60.0-69.11
41,70.0-89.11
42,60.0-69.11
42,70.0-89.11
43,60.0-69.11
43,70.0-89.11
44,60.0-69.11
44,70.0-89.11
45,60.0-69.11
45,70.0-89.11
46,60.0-69.11
46,70.0-89.11
47,60.0-69.11
47,70.0-89.11
48,60.0-69.11
48,70.0-89.11
49,60.0-69.11
49,70.0-89.11
50,60.0-69.11
50,70.0-89.11
51,60.0-69.11
51,70.0-89.11
52,60.0-69.11
52,70.0-89.11
53,60.0-69.11
53,70.0-89.11
54,60.0-69.11
54,70.0-89.11
55,60.0-69.11
