ID,demo_wt,cell_pct,age,group,raw
201001,0.6086462337215557,0.00236954592,5.597260273972603,5.691408979574784,17
201008,0.6489807853951944,0.002417904,7.287671232876712,7.207066573316953,26
201010,1.2173859174725512,0.031197292,8.632876712328766,8.081294902661215,20
203001,1.070597033468632,0.017134264,7.008196721311475,7.207066573316953,23
203002,1.2385362594615668,0.016123236,7.353424657534246,7.207066573316953,12
203003,1.0040587748023304,0.01679157872,8.05464480874317,8.081294902661215,29
203004,0.6755524402499087,0.00849613743999999,7.991780821917808,8.081294902661215,28
204001,1.141724640128021,0.03057334616,8.293150684931508,8.081294902661215,29
204006,1.141724640128021,0.03057334616,8.191256830601093,8.081294902661215,25
205001,0.5090647595684119,0.00292334784,8.465753424657533,8.081294902661215,24
205004,0.5090647595684119,0.00292334784,5.772602739726027,5.691408979574784,18
205008,1.2173859174725512,0.031197292,8.243835616438357,8.081294902661215,24
205009,0.5428001179957411,0.002983008,7.641095890410959,8.081294902661215,19
205013,1.2173859174725512,0.031197292,6.736986301369863,6.512841221824458,28
205014,0.9404385812384028,0.006800355,7.7835616438356166,8.081294902661215,10
205028,0.8190835515942422,0.015785084,6.76986301369863,6.512841221824458,29
205029,1.141724640128021,0.03057334616,5.794520547945205,5.691408979574784,20
205036,1.2173859174725512,0.031197292,7.109289617486339,7.207066573316953,20
206001,0.49808579435611616,0.00119660352,6.164383561643835,6.512841221824458,24
206002,0.49808579435611616,0.00119660352,7.572602739726028,7.207066573316953,27
206005,1.1911306377922186,0.012769876,7.380821917808219,7.207066573316953,27
206011,1.1171011420948558,0.01251447848,7.994520547945205,8.081294902661215,30
207001,0.8002376571006601,0.00433593,6.367123287671233,6.512841221824458,12
207002,1.2004692531390824,0.01361056536,5.778082191780822,5.691408979574784,9
207004,0.8612274666600797,0.007027164,6.835616438356165,6.512841221824458,18
207006,0.8270432085526275,0.00373491,7.282191780821917,7.207066573316953,26
207007,0.8270432085526275,0.00373491,6.676712328767123,6.512841221824458,25
207008,1.4578480115144927,0.00309626,8.43013698630137,8.081294902661215,11
207022,0.7756419686663273,0.0036602118,6.389041095890411,6.512841221824458,17
207023,0.8002376571006601,0.00433593,5.090163934426229,5.691408979574784,16
207024,0.7756419686663273,0.0036602118,5.2076502732240435,5.691408979574784,12
207025,0.8002376571006601,0.00433593,5.363387978142076,5.691408979574784,14
207026,0.8077016542808969,0.00688662072,6.475409836065574,6.512841221824458,24
207027,0.7505023985877858,0.0042492114,5.333333333333333,5.691408979574784,13
207028,0.8002376571006601,0.00433593,6.605479452054794,6.512841221824458,11
207029,0.7756419686663273,0.0036602118,5.1502732240437155,5.691408979574784,13
207030,0.8270432085526275,0.00373491,5.027322404371585,5.691408979574784,1
207031,0.8002376571006601,0.00433593,6.308743169398907,6.512841221824458,22
207032,0.7756419686663273,0.0036602118,6.50958904109589,6.512841221824458,18
208001,0.9404385812384028,0.006800355,6.736986301369863,6.512841221824458,7
208011,0.9404385812384028,0.006800355,5.879452054794521,5.691408979574784,6
209019,0.9038716387578336,0.01932615664,6.112021857923497,6.512841221824458,4
210001,0.8190835515942422,0.015785084,7.245901639344262,7.207066573316953,29
210016,0.8190835515942422,0.015785084,6.8,6.512841221824458,19
210018,0.947569110005152,0.014853666,6.8273972602739725,6.512841221824458,23
210039,0.9793098214140168,0.012794742,5.084699453551913,5.691408979574784,3
210044,0.8886771118259256,0.01455659268,5.728767123287671,5.691408979574784,6
